,Building,Class,Actual_Enrl,Latitude,Longitude,Days,Day_start_M,Day_end_M,Day_start_T,Day_end_T,Day_start_W,Day_end_W,Day_start_R,Day_end_R,Day_start_F,Day_end_F,Day_start_S,Day_end_S,Day_start_U,Day_end_U
493,CH,UNST 124E,12,680507.418369,7642314.424760001,T,na,na,2016-09-27 14:00:00,2016-09-27 14:50:00,na,na,na,na,na,na,na,na,na,na
494,CH,UNST 254B,12,680507.418369,7642314.424760001,W,na,na,na,na,2016-09-28 15:30:00,2016-09-28 16:20:00,na,na,na,na,na,na,na,na
495,CH,UNST 199,19,680507.418369,7642314.424760001,F,na,na,na,na,na,na,na,na,2016-09-30 10:00:00,2016-09-30 11:50:00,na,na,na,na
496,CH,UNST 131K,12,680507.418369,7642314.424760001,MW,2016-09-26 08:00:00,2016-09-26 08:50:00,na,na,2016-09-28 08:00:00,2016-09-28 08:50:00,na,na,na,na,na,na,na,na
497,CH,UNST 131K,12,680507.418369,7642314.424760001,MW,2016-09-26 09:00:00,2016-09-26 09:50:00,na,na,2016-09-28 09:00:00,2016-09-28 09:50:00,na,na,na,na,na,na,na,na
498,CH,UNST 131K,12,680507.418369,7642314.424760001,MW,2016-09-26 10:00:00,2016-09-26 10:50:00,na,na,2016-09-28 10:00:00,2016-09-28 10:50:00,na,na,na,na,na,na,na,na
499,CH,UNST 228E,12,680507.418369,7642314.424760001,M,2016-09-26 11:00:00,2016-09-26 11:50:00,na,na,na,na,na,na,na,na,na,na,na,na
500,CH,UNST 131C,11,680507.418369,7642314.424760001,MW,2016-09-26 13:00:00,2016-09-26 13:50:00,na,na,2016-09-28 13:00:00,2016-09-28 13:50:00,na,na,na,na,na,na,na,na
501,CH,UNST 134C,12,680507.418369,7642314.424760001,MW,2016-09-26 14:00:00,2016-09-26 14:50:00,na,na,2016-09-28 14:00:00,2016-09-28 14:50:00,na,na,na,na,na,na,na,na
502,CH,UNST 147B,12,680507.418369,7642314.424760001,MW,2016-09-26 15:00:00,2016-09-26 15:50:00,na,na,2016-09-28 15:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
503,CH,UNST 131C,10,680507.418369,7642314.424760001,MW,2016-09-26 16:00:00,2016-09-26 16:50:00,na,na,2016-09-28 16:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
504,CH,UNST 131C,10,680507.418369,7642314.424760001,MW,2016-09-26 17:00:00,2016-09-26 17:50:00,na,na,2016-09-28 17:00:00,2016-09-28 17:50:00,na,na,na,na,na,na,na,na
505,CH,UNST 141C,12,680507.418369,7642314.424760001,TR,na,na,2016-09-27 08:00:00,2016-09-27 08:50:00,na,na,2016-09-29 08:00:00,2016-09-29 08:50:00,na,na,na,na,na,na
506,CH,UNST 141C,12,680507.418369,7642314.424760001,TR,na,na,2016-09-27 09:00:00,2016-09-27 09:50:00,na,na,2016-09-29 09:00:00,2016-09-29 09:50:00,na,na,na,na,na,na
507,CH,UNST 141C,13,680507.418369,7642314.424760001,TR,na,na,2016-09-27 10:00:00,2016-09-27 10:50:00,na,na,2016-09-29 10:00:00,2016-09-29 10:50:00,na,na,na,na,na,na
508,CH,UNST 134E,12,680507.418369,7642314.424760001,TR,na,na,2016-09-27 11:00:00,2016-09-27 11:50:00,na,na,2016-09-29 11:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
509,CH,UNST 134E,12,680507.418369,7642314.424760001,TR,na,na,2016-09-27 12:00:00,2016-09-27 12:50:00,na,na,2016-09-29 12:00:00,2016-09-29 12:50:00,na,na,na,na,na,na
510,CH,UNST 134E,11,680507.418369,7642314.424760001,TR,na,na,2016-09-27 13:00:00,2016-09-27 13:50:00,na,na,2016-09-29 13:00:00,2016-09-29 13:50:00,na,na,na,na,na,na
511,CH,UNST 101J,13,680507.418369,7642314.424760001,TR,na,na,2016-09-27 14:00:00,2016-09-27 14:50:00,na,na,2016-09-29 14:00:00,2016-09-29 14:50:00,na,na,na,na,na,na
512,CH,UNST 101J,11,680507.418369,7642314.424760001,TR,na,na,2016-09-27 15:00:00,2016-09-27 15:50:00,na,na,2016-09-29 15:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
513,CH,UNST 101J,13,680507.418369,7642314.424760001,TR,na,na,2016-09-27 17:30:00,2016-09-27 18:20:00,na,na,2016-09-29 17:30:00,2016-09-29 18:20:00,na,na,na,na,na,na
514,CH,UNST 228E,12,680507.418369,7642314.424760001,W,na,na,na,na,2016-09-28 11:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
515,CH,UNST 228E,12,680507.418369,7642314.424760001,W,na,na,na,na,2016-09-28 12:00:00,2016-09-28 12:50:00,na,na,na,na,na,na,na,na
516,CH,INTL 226D,2,680507.418369,7642314.424760001,M,2016-09-26 08:30:00,2016-09-26 09:20:00,na,na,na,na,na,na,na,na,na,na,na,na
517,CH,UNST 233G,8,680507.418369,7642314.424760001,M,2016-09-26 08:30:00,2016-09-26 09:20:00,na,na,na,na,na,na,na,na,na,na,na,na
518,CH,UNST 134A,12,680507.418369,7642314.424760001,MW,2016-09-26 10:00:00,2016-09-26 10:50:00,na,na,2016-09-28 10:00:00,2016-09-28 10:50:00,na,na,na,na,na,na,na,na
519,CH,UNST 134A,12,680507.418369,7642314.424760001,MW,2016-09-26 11:00:00,2016-09-26 11:50:00,na,na,2016-09-28 11:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
520,CH,UNST 134A,12,680507.418369,7642314.424760001,MW,2016-09-26 12:00:00,2016-09-26 12:50:00,na,na,2016-09-28 12:00:00,2016-09-28 12:50:00,na,na,na,na,na,na,na,na
521,CH,UNST 147B,12,680507.418369,7642314.424760001,MW,2016-09-26 13:00:00,2016-09-26 13:50:00,na,na,2016-09-28 13:00:00,2016-09-28 13:50:00,na,na,na,na,na,na,na,na
522,CH,UNST 134C,12,680507.418369,7642314.424760001,MW,2016-09-26 15:00:00,2016-09-26 15:50:00,na,na,2016-09-28 15:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
523,CH,UNST 134C,12,680507.418369,7642314.424760001,MW,2016-09-26 16:00:00,2016-09-26 16:50:00,na,na,2016-09-28 16:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
524,CH,UNST 147C,12,680507.418369,7642314.424760001,TR,na,na,2016-09-27 14:00:00,2016-09-27 14:50:00,na,na,2016-09-29 14:00:00,2016-09-29 14:50:00,na,na,na,na,na,na
525,CH,UNST 147C,12,680507.418369,7642314.424760001,TR,na,na,2016-09-27 15:00:00,2016-09-27 15:50:00,na,na,2016-09-29 15:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
