,Building,Class,Actual_Enrl,Day_M
758,CH,UNST 231C,10,2016-09-26 18:30:00
777,CH,UNST 147B,36,2016-09-26 11:00:00
778,CH,UNST 141A,35,2016-09-26 12:30:00
779,CH,UNST 131C,31,2016-09-26 14:00:00
780,CH,UNST 234I,32,2016-09-26 16:00:00
787,CH,UNST 134A,36,2016-09-26 08:00:00
788,CH,UNST 232A,29,2016-09-26 09:30:00
789,CH,UNST 254W,34,2016-09-26 11:00:00
790,CH,UNST 134C,36,2016-09-26 12:30:00
791,CH,UNST 254G,36,2016-09-26 14:00:00
792,CH,UNST 242C,34,2016-09-26 15:30:00
806,CH,LING 111,17,2016-09-26 09:00:00
807,CH,GER 101,20,2016-09-26 11:30:00
808,CH,PS 447,14,2016-09-26 12:45:00
809,CH,WR 222,26,2016-09-26 14:00:00
810,CH,MTH 411,17,2016-09-26 17:15:00
811,CH,MTH 511,15,2016-09-26 17:15:00
812,CH,PA 511,28,2016-09-26 18:40:00
829,CH,INTL 226C,5,2016-09-26 09:30:00
830,CH,UNST 233G,24,2016-09-26 09:30:00
831,CH,UNST 220C,36,2016-09-26 11:00:00
832,CH,UNST 236E,35,2016-09-26 12:30:00
833,CH,UNST 220A,33,2016-09-26 14:00:00
834,CH,UNST 239C,33,2016-09-26 16:00:00
842,CH,UNST 254M,35,2016-09-26 09:30:00
843,CH,UNST 124C,36,2016-09-26 11:00:00
844,CH,UNST 239E,36,2016-09-26 12:30:00
845,CH,UNST 254B,35,2016-09-26 14:00:00
846,CH,UNST 231C,31,2016-09-26 16:00:00
854,CH,UNST 228E,36,2016-09-26 09:30:00
855,CH,UNST 131K,36,2016-09-26 11:00:00
856,CH,UNST 230A,36,2016-09-26 12:30:00
857,CH,UNST 228C,33,2016-09-26 14:00:00
858,CH,UNST 228K,29,2016-09-26 16:00:00
866,CH,UNST 107K,12,2016-09-26 10:15:00
867,CH,UNST 107K,12,2016-09-26 11:30:00
868,CH,UNST 107K,12,2016-09-26 12:45:00
869,CH,UNST 230A,13,2016-09-26 14:00:00
870,CH,UNST 230A,11,2016-09-26 15:00:00
871,CH,UNST 239C,11,2016-09-26 17:30:00
872,CH,UNST 239C,11,2016-09-26 18:30:00
890,CH,UNST 254W,10,2016-09-26 09:00:00
891,CH,UNST 254W,12,2016-09-26 10:00:00
892,CH,UNST 254M,12,2016-09-26 11:00:00
893,CH,UNST 236E,12,2016-09-26 14:00:00
894,CH,UNST 242C,11,2016-09-26 17:00:00
895,CH,UNST 242C,11,2016-09-26 18:00:00
912,CH,UNST 239E,12,2016-09-26 14:00:00
913,CH,UNST 239E,12,2016-09-26 15:00:00
914,CH,UNST 254E,13,2016-09-26 17:30:00
915,CH,UNST 254E,11,2016-09-26 18:30:00
924,CH,CCJ 260,32,2016-09-26 09:00:00
925,CH,CCJ 330U,71,2016-09-26 10:15:00
926,CH,FILM 370U,51,2016-09-26 12:00:00
927,CH,CCJ 200,67,2016-09-26 14:00:00
928,CH,MTH 252,32,2016-09-26 16:40:00
947,CH,SYSC 557,9,2016-09-26 18:40:00
957,CH,BA 301,44,2016-09-26 08:15:00
958,CH,MGMT 471,30,2016-09-26 10:15:00
959,CH,ACTG 381,17,2016-09-26 11:30:00
960,CH,ACTG 381,0,2016-09-26 11:30:00
961,CH,MKTG 512,42,2016-09-26 17:30:00
968,CH,SOC 590,12,2016-09-26 14:00:00
976,CH,SOC 314U,29,2016-09-26 09:00:00
977,CH,PHE 473,33,2016-09-26 10:15:00
978,CH,PHE 573,0,2016-09-26 10:15:00
979,CH,PSY 310U,47,2016-09-26 11:30:00
980,CH,WS 310U,11,2016-09-26 11:30:00
981,CH,INTL 201,56,2016-09-26 12:45:00
982,CH,ARH 351U,38,2016-09-26 14:00:00
983,CH,CCJ 340,51,2016-09-26 16:40:00
984,CH,FIN 218,56,2016-09-26 18:40:00
992,CH,PSY 204,99,2016-09-26 09:00:00
993,CH,PS 101,77,2016-09-26 10:15:00
994,CH,PSY 200,96,2016-09-26 11:30:00
995,CH,PHE 363,101,2016-09-26 12:45:00
996,CH,PSY 434,65,2016-09-26 14:00:00
997,CH,PHE 326U,75,2016-09-26 16:40:00
1017,CH,MTH 112,40,2016-09-26 09:00:00
1018,CH,MGMT 351,38,2016-09-26 10:15:00
1019,CH,BA 325,42,2016-09-26 11:30:00
1020,CH,PSY 521,1,2016-09-26 12:45:00
1021,CH,PSY 621,17,2016-09-26 12:45:00
1022,CH,ACTG 381,41,2016-09-26 14:00:00
1023,CH,ACTG 381,0,2016-09-26 14:00:00
1031,CH,G 318,30,2016-09-26 09:00:00
1033,CH,PSY 510,1,2016-09-26 08:45:00
1034,CH,PSY 610,7,2016-09-26 08:45:00
1044,CH,SW 523,9,2016-09-26 09:00:00
1045,CH,WR 115,15,2016-09-26 12:00:00
1046,CH,ENG 460,22,2016-09-26 14:00:00
1047,CH,UNST 421,15,2016-09-26 16:00:00
1048,CH,ASL 101,27,2016-09-26 18:40:00
1072,CH,MTH 344,27,2016-09-26 09:00:00
1073,CH,LING 111,16,2016-09-26 10:15:00
1074,CH,STAT 461,30,2016-09-26 12:45:00
1075,CH,BST 345U,30,2016-09-26 14:00:00
1096,CH,ACTG 335,21,2016-09-26 08:15:00
1097,CH,UNST 194,19,2016-09-26 10:15:00
1098,CH,UNST 394,7,2016-09-26 10:15:00
1099,CH,PH 382U,21,2016-09-26 12:00:00
1100,CH,SCI 382U,14,2016-09-26 12:00:00
1101,CH,FIN 352,44,2016-09-26 14:00:00
1102,CH,BA 302,36,2016-09-26 16:40:00
1103,CH,RE 521,24,2016-09-26 18:40:00
1128,CH,UNST 117C,34,2016-09-26 08:45:00
1129,CH,PHL 451,8,2016-09-26 10:15:00
